CustomerId,Recency,Frequency,Monetary
CustomerId_1001,90,3,25200.0
CustomerId_1002,28,5,4500.0
CustomerId_1003,12,4,26000.0
CustomerId_1004,53,1,2000.0
CustomerId_1005,47,6,55000.0
CustomerId_1006,65,1,1000.0
CustomerId_1007,82,1,28000.0
CustomerId_1008,66,2,20000.0
CustomerId_1009,28,1,500.0
CustomerId_1010,42,4,28000.0
CustomerId_1012,5,42,128900.0
CustomerId_1014,50,8,763880.0
CustomerId_1016,5,3,26000.0
CustomerId_1020,27,120,295400.0
CustomerId_1021,78,1,5000.0
CustomerId_1022,35,1,7000.0
CustomerId_1025,12,11,18500.0
CustomerId_1027,1,8,27000.0
CustomerId_1028,26,1,500.0
CustomerId_1029,8,7,57000.0
CustomerId_1030,31,4,3500.0
CustomerId_1031,15,32,123500.0
CustomerId_1032,34,2,2000.0
CustomerId_1033,67,1,1000.0
CustomerId_1034,9,13,50900.0
CustomerId_1036,91,1,1000.0
CustomerId_1038,12,3,25000.0
CustomerId_1039,12,24,260000.0
CustomerId_1040,38,1,50000.0
CustomerId_1043,47,3,25000.0
CustomerId_1044,48,11,22683.0
CustomerId_1048,43,1,1000.0
CustomerId_1050,54,1,5000.0
CustomerId_1052,24,5,58000.0
CustomerId_1053,90,6,13800.0
CustomerId_1054,5,31,161850.0
CustomerId_1055,82,3,6000.0
CustomerId_1056,56,4,5500.0
CustomerId_1057,91,1,5000.0
CustomerId_1058,5,15,14500.0
CustomerId_1059,12,6,51000.0
CustomerId_1063,2,7,14500.0
CustomerId_1064,6,29,223115.0
CustomerId_1068,53,1,500.0
CustomerId_1070,26,1,5000.0
CustomerId_1071,3,4,239000.0
CustomerId_1073,72,1,1000.0
CustomerId_1074,5,36,218100.0
CustomerId_1078,47,3,30000.0
CustomerId_1079,45,1,20000.0
CustomerId_1080,31,1,5000.0
CustomerId_1081,14,2,1500.0
CustomerId_1082,47,3,25000.0
CustomerId_1083,32,1,500.0
CustomerId_1084,71,1,10000.0
CustomerId_1085,58,2,4000.0
CustomerId_1086,5,21,78300.0
CustomerId_1087,33,6,51000.0
CustomerId_1089,37,90,172690.0
CustomerId_1091,25,2,3000.0
CustomerId_1092,19,12,81000.0
CustomerId_1093,33,31,61980.0
CustomerId_1094,25,4,38500.0
CustomerId_1095,12,7,6000.0
CustomerId_1096,7,411,1993300.0
CustomerId_1098,3,1,20000.0
CustomerId_1099,25,7,7200.0
CustomerId_1101,53,9,60000.0
CustomerId_1102,6,10,76000.0
CustomerId_1103,48,1,30000.0
CustomerId_1104,5,5,61000.0
CustomerId_1105,27,1,500.0
CustomerId_1106,88,1,10000.0
CustomerId_1108,2,7,81000.0
CustomerId_1109,47,5,46000.0
CustomerId_1111,69,1,1000.0
CustomerId_1112,12,4,26000.0
CustomerId_1113,65,15,36000.0
CustomerId_1114,1,32,56000.0
CustomerId_1116,5,5,7000.0
CustomerId_1117,74,1,4000.0
CustomerId_1118,1,16,106000.0
CustomerId_1119,27,6,5500.0
CustomerId_1120,63,1,2000.0
CustomerId_1121,16,4,13439.0
